regression_lookback,regression_timeframe,sl_multiplier,tp_multiplier,min_gap_atr_ratio,gate_mode,band_k,n_trades,n_candidate_bars,pf,total_pnl
20,5min,5.0,6.0,0.25,position,2.0,13,1179,0.7413921396198336,-955.75
20,5min,5.0,8.0,0.25,combined,2.5,4,246,0.7380248373743347,-332.25
150,5min,7.0,6.0,0.35,slope,1.5,33,6486,0.7275085944087696,-3150.75
100,5min,7.0,8.0,0.35,slope,1.5,36,8756,0.7201970089157319,-3891.5
150,15min,3.0,10.0,0.35,slope,1.5,34,7576,0.7180353311726845,-3088.5
100,15min,3.0,8.0,0.25,position,1.5,6,644,0.7134328358208956,-384.0
100,5min,7.0,6.0,0.35,slope,1.5,36,8807,0.7094128746643443,-4004.0
150,5min,3.0,10.0,0.35,slope,1.5,35,6644,0.6914515623367123,-2952.5
20,5min,7.0,8.0,0.25,position,2.0,13,1176,0.690873284509816,-1255.75
20,15min,7.0,6.0,0.25,position,2.0,4,616,0.6874572795625428,-457.25
150,5min,5.0,10.0,0.25,position,2.0,3,422,0.685190489830994,-549.5
100,5min,5.0,10.0,0.25,position,2.5,3,293,0.685190489830994,-549.5
150,5min,5.0,10.0,0.25,position,2.5,3,288,0.685190489830994,-549.5
100,5min,3.0,6.0,0.25,position,2.5,3,305,0.6815801999048072,-334.5
150,5min,3.0,6.0,0.25,position,2.0,3,434,0.6815801999048072,-334.5
150,5min,3.0,6.0,0.25,position,2.5,3,300,0.6815801999048072,-334.5
20,15min,3.0,6.0,0.25,position,2.0,4,616,0.6789947842579421,-338.5
20,5min,7.0,6.0,0.25,position,2.0,13,1176,0.6762092793682132,-1312.0
10,15min,7.0,6.0,0.25,combined,1.5,9,803,0.6738060781476122,-563.5
20,15min,5.0,10.0,0.35,position,1.5,7,1379,0.6655696202531646,-660.5
10,5min,3.0,6.0,0.25,position,2.0,4,668,0.6649852879361076,-398.5
150,5min,3.0,10.0,0.25,position,1.5,6,995,0.6639833448993754,-605.25
20,5min,7.0,10.0,0.25,combined,2.5,4,246,0.6622366746783543,-597.25
10,15min,5.0,10.0,0.25,combined,1.5,9,815,0.6519522776572668,-802.25
100,5min,7.0,10.0,0.35,slope,1.5,36,8735,0.6490543178299791,-5214.0
10,15min,3.0,6.0,0.25,combined,1.5,9,823,0.6422068965517241,-648.5
100,5min,7.0,10.0,0.25,position,1.5,7,976,0.6408459214501511,-743.0
150,5min,7.0,10.0,0.25,position,1.5,6,959,0.6389926497168333,-749.0
100,15min,5.0,10.0,0.25,position,1.5,6,643,0.6298880842659644,-702.75
10,5min,5.0,10.0,0.25,position,2.0,4,668,0.6247777929714208,-686.0
20,5min,5.0,10.0,0.25,position,2.5,5,364,0.6172091184609303,-726.25
10,15min,5.0,8.0,0.25,combined,1.5,9,815,0.6134490238611714,-891.0
20,5min,7.0,6.0,0.25,combined,2.5,4,246,0.6097838452787259,-686.0
100,5min,5.0,10.0,0.25,position,2.0,4,589,0.5981495373843461,-803.5
20,15min,5.0,10.0,0.25,position,1.5,13,1307,0.5972931562819204,-1577.0
100,5min,3.0,6.0,0.25,position,2.0,4,601,0.5944375259443753,-488.5
20,15min,5.0,8.0,0.35,position,1.5,7,1379,0.579493670886076,-830.5
10,5min,5.0,8.0,0.25,position,2.0,4,668,0.5776015315192123,-772.25
20,5min,5.0,6.0,0.25,position,2.5,5,364,0.5680975092739798,-815.0
20,5min,3.0,8.0,0.35,combined,1.5,4,2357,0.564507635597683,-413.5
20,15min,3.0,10.0,0.25,position,1.5,14,1343,0.558721286892509,-1618.5
150,15min,5.0,8.0,0.25,combined,1.5,12,1481,0.5535491448285987,-1520.5
150,15min,5.0,6.0,0.25,combined,1.5,12,1483,0.5491448285986934,-1535.5
150,15min,3.0,10.0,0.25,combined,1.5,13,1556,0.5485962831158561,-1427.0
150,5min,5.0,8.0,0.25,position,2.0,3,422,0.5476940704669149,-789.5
100,5min,5.0,8.0,0.25,position,2.5,3,293,0.5476940704669149,-789.5
150,5min,5.0,8.0,0.25,position,2.5,3,288,0.5476940704669149,-789.5
100,15min,3.0,6.0,0.25,position,1.5,6,644,0.5343283582089552,-624.0
150,5min,3.0,8.0,0.25,position,1.5,6,995,0.5307425399028453,-845.25
20,5min,7.0,8.0,0.25,combined,2.5,4,246,0.5293369150289835,-832.25
100,5min,3.0,10.0,0.25,position,1.5,7,1057,0.527685859254357,-1070.5
150,15min,3.0,10.0,0.25,position,1.5,20,2104,0.5239372401770149,-2662.5
150,5min,7.0,8.0,0.25,position,1.5,6,959,0.5233160621761658,-989.0
20,15min,7.0,10.0,0.25,position,1.5,12,1303,0.5169632003536302,-2185.5
20,15min,7.0,10.0,0.35,position,1.5,7,1379,0.5114785992217898,-1255.5
150,15min,5.0,8.0,0.35,position,1.5,2,2214,0.5111838516093835,-448.0
150,15min,5.0,6.0,0.35,position,1.5,2,2214,0.5111838516093835,-448.0
150,15min,5.0,10.0,0.35,position,1.5,2,2214,0.5111838516093835,-448.0
10,15min,5.0,6.0,0.25,combined,1.5,9,815,0.5049891540130151,-1141.0
20,15min,5.0,8.0,0.25,position,1.5,13,1307,0.4989785495403473,-1962.0
20,15min,5.0,6.0,0.35,position,1.5,7,1379,0.49341772151898733,-1000.5
20,5min,5.0,8.0,0.25,position,2.5,5,364,0.49334563183555147,-961.25
10,5min,7.0,10.0,0.25,position,2.0,4,668,0.4906045313003329,-1186.0
100,5min,5.0,8.0,0.25,position,2.0,4,589,0.47811952988247064,-1043.5
150,15min,7.0,8.0,0.25,position,1.5,17,1952,0.4749610327325047,-3284.25
150,15min,3.0,8.0,0.25,combined,1.5,13,1558,0.4742586002372479,-1662.0
150,15min,3.0,6.0,0.25,combined,1.5,13,1558,0.4742586002372479,-1662.0
10,15min,3.0,8.0,0.25,position,2.0,3,326,0.47380410022779046,-462.0
20,5min,7.0,10.0,0.25,position,2.5,5,364,0.4698565553214966,-1321.25
100,15min,7.0,10.0,0.25,position,1.5,6,641,0.4646915978630403,-1377.75
20,15min,3.0,8.0,0.25,position,1.5,14,1343,0.45375230045668324,-2003.5
10,5min,7.0,8.0,0.25,position,2.0,4,668,0.45355954042735963,-1272.25
20,15min,7.0,8.0,0.35,position,1.5,7,1379,0.4453307392996109,-1425.5
150,15min,3.0,8.0,0.25,position,1.5,20,2106,0.4390058557954495,-3137.5
150,15min,7.0,10.0,0.25,position,1.5,15,1878,0.43613093773074085,-2863.75
150,15min,7.0,6.0,0.25,position,1.5,17,1954,0.43419527596818674,-3539.25
10,5min,5.0,6.0,0.25,position,2.0,4,668,0.4326541774921373,-1037.25
20,5min,7.0,6.0,0.25,position,2.5,5,364,0.43190975020145045,-1410.0
20,15min,7.0,8.0,0.25,position,1.5,12,1303,0.4318709249640844,-2570.5
150,15min,5.0,8.0,0.25,position,1.5,18,1942,0.4296299096510793,-3772.0
150,5min,5.0,10.0,0.25,position,1.5,6,976,0.4277156906571301,-1600.25
20,5min,3.0,6.0,0.35,combined,1.5,4,2357,0.42232754081095314,-548.5
100,5min,3.0,8.0,0.25,position,1.5,7,1057,0.4217957202735495,-1310.5
150,5min,5.0,6.0,0.25,position,2.0,3,422,0.41019765110283585,-1029.5
100,5min,5.0,6.0,0.25,position,2.5,3,293,0.41019765110283585,-1029.5
150,5min,5.0,6.0,0.25,position,2.5,3,288,0.41019765110283585,-1029.5
10,15min,3.0,10.0,0.25,position,2.0,3,326,0.4097380410022779,-518.25
150,5min,7.0,6.0,0.25,position,1.5,6,959,0.40763947463549827,-1229.0
150,15min,7.0,10.0,0.25,combined,1.5,11,1412,0.4056932417637106,-1492.75
10,15min,7.0,8.0,0.25,position,1.5,15,1320,0.4024732996065205,-2657.5
20,15min,5.0,6.0,0.25,position,1.5,13,1307,0.40066394279877426,-2347.0
150,5min,3.0,6.0,0.25,position,1.5,6,995,0.3975017349063151,-1085.25
150,15min,3.0,6.0,0.25,position,1.5,20,2106,0.396093156318448,-3377.5
20,15min,3.0,10.0,0.35,position,1.5,7,1398,0.39528092512556945,-1294.25
150,15min,5.0,6.0,0.25,position,1.5,18,1944,0.3910709560352323,-4027.0
10,15min,3.0,10.0,0.25,position,1.5,16,1365,0.3850243402510889,-2400.25
100,5min,5.0,10.0,0.25,position,1.5,7,1002,0.3814687823937485,-1939.25
20,15min,7.0,6.0,0.35,position,1.5,7,1379,0.3791828793774319,-1595.5
20,5min,7.0,8.0,0.25,position,2.5,5,364,0.37556424917243453,-1556.25
150,15min,7.0,10.0,0.35,position,1.5,2,2214,0.3655872024970737,-813.0
150,15min,7.0,6.0,0.35,position,1.5,2,2214,0.3655872024970737,-813.0
150,15min,7.0,8.0,0.35,position,1.5,2,2214,0.3655872024970737,-813.0
10,15min,3.0,8.0,0.25,position,1.5,16,1365,0.3622854214706636,-2489.0
100,5min,5.0,6.0,0.25,position,2.0,4,589,0.35808952238059516,-1283.5
10,15min,3.0,6.0,0.25,position,2.0,3,326,0.3542141230068337,-567.0
20,15min,3.0,6.0,0.25,position,1.5,14,1343,0.3487833140208575,-2388.5
20,15min,7.0,6.0,0.25,position,1.5,12,1303,0.34677864957453863,-2955.5
150,5min,5.0,8.0,0.25,position,1.5,6,976,0.3418864550737595,-1840.25
20,5min,5.0,8.0,0.35,combined,1.5,4,2355,0.3404255319148936,-1038.5
10,5min,7.0,6.0,0.25,position,2.0,4,668,0.3397401481799635,-1537.25
10,15min,5.0,8.0,0.25,position,1.5,16,1349,0.33811862485833016,-3504.0
150,15min,5.0,10.0,0.25,position,1.5,17,1923,0.32514715627801816,-4328.0
10,15min,7.0,6.0,0.25,position,1.5,15,1320,0.32490163012928613,-3002.5
100,5min,3.0,6.0,0.25,position,1.5,7,1057,0.3159055812927421,-1550.5
20,15min,3.0,8.0,0.35,position,1.5,7,1398,0.31585095199158975,-1464.25
10,15min,7.0,10.0,0.25,position,1.5,15,1320,0.314119983277592,-3281.25
100,5min,5.0,8.0,0.25,position,1.5,7,1002,0.3049198628498525,-2179.25
10,15min,3.0,6.0,0.25,position,1.5,16,1365,0.2982321291314374,-2739.0
10,15min,5.0,8.0,0.25,position,2.0,3,326,0.28532235939643347,-1042.0
20,5min,3.0,8.0,0.35,position,1.5,7,3108,0.2746605175506021,-1415.5
10,15min,5.0,6.0,0.25,position,1.5,16,1349,0.2729505100113336,-3849.0
10,15min,5.0,10.0,0.25,position,1.5,16,1349,0.27147502483967123,-4032.75
10,5min,3.0,10.0,0.35,combined,1.5,4,2235,0.27089627391742194,-1086.0
10,5min,3.0,8.0,0.35,combined,1.5,4,2235,0.27089627391742194,-1086.0
10,5min,3.0,6.0,0.35,combined,1.5,4,2235,0.27089627391742194,-1086.0
150,5min,5.0,6.0,0.25,position,1.5,6,976,0.2560572194903889,-2080.25
20,5min,5.0,6.0,0.35,combined,1.5,4,2355,0.25468402667513496,-1173.5
10,15min,5.0,10.0,0.25,position,2.0,3,326,0.24674211248285322,-1098.25
20,5min,7.0,8.0,0.35,combined,1.5,4,2355,0.24369174812457375,-1663.5
20,15min,3.0,6.0,0.35,position,1.5,7,1398,0.2364209788576101,-1634.25
100,5min,5.0,6.0,0.25,position,1.5,7,1002,0.22837094330595648,-2419.25
10,15min,7.0,8.0,0.25,position,2.0,3,326,0.22092405735528411,-1467.0
150,15min,5.0,10.0,0.25,combined,1.5,12,1470,0.22039779416320715,-3145.5
10,15min,5.0,6.0,0.25,position,2.0,3,326,0.21330589849108367,-1147.0
20,5min,3.0,6.0,0.35,position,1.5,7,3108,0.20548296182423775,-1550.5
20,5min,3.0,10.0,0.35,combined,1.5,4,2344,0.20510795155344919,-754.75
10,5min,5.0,10.0,0.35,combined,1.5,4,2235,0.20167437211045858,-1597.25
10,5min,5.0,6.0,0.35,combined,1.5,4,2235,0.20167437211045858,-1597.25
10,5min,5.0,8.0,0.35,combined,1.5,4,2235,0.20167437211045858,-1597.25
10,15min,7.0,10.0,0.25,position,2.0,3,326,0.19105151354221986,-1523.25
20,5min,7.0,6.0,0.35,combined,1.5,4,2355,0.18231416230961583,-1798.5
20,5min,5.0,8.0,0.35,position,1.5,7,3106,0.1734487501011245,-2554.25
10,15min,7.0,6.0,0.25,position,2.0,3,326,0.1651619755708975,-1572.0
10,5min,7.0,8.0,0.35,combined,1.5,4,2230,0.16464347648678976,-2047.25
10,5min,7.0,6.0,0.35,combined,1.5,4,2230,0.16464347648678976,-2047.25
10,5min,7.0,10.0,0.35,combined,1.5,4,2230,0.16464347648678976,-2047.25
20,5min,7.0,8.0,0.35,position,1.5,7,3100,0.13620481545009847,-3399.25
20,5min,5.0,6.0,0.35,position,1.5,7,3106,0.12976296416147562,-2689.25
20,5min,5.0,10.0,0.35,combined,1.5,4,2342,0.1236900603366148,-1379.75
10,5min,3.0,10.0,0.35,position,1.5,10,2946,0.11074516261836147,-3240.0
10,5min,3.0,8.0,0.35,position,1.5,10,2946,0.11074516261836147,-3240.0
10,5min,3.0,6.0,0.35,position,1.5,10,2946,0.11074516261836147,-3240.0
20,5min,7.0,6.0,0.35,position,1.5,7,3100,0.10189949812591322,-3534.25
20,5min,3.0,10.0,0.35,position,1.5,7,3095,0.09979502946451448,-1756.75
10,5min,5.0,8.0,0.35,position,1.5,10,2923,0.09004686453916537,-4077.5
10,5min,5.0,6.0,0.35,position,1.5,10,2923,0.09004686453916537,-4077.5
10,5min,5.0,10.0,0.35,position,1.5,10,2923,0.09004686453916537,-4077.5
20,5min,7.0,10.0,0.35,combined,1.5,4,2342,0.08854285064787451,-2004.75
10,5min,7.0,10.0,0.35,position,1.5,10,2909,0.07402311502476609,-5047.5
10,5min,7.0,6.0,0.35,position,1.5,10,2909,0.07402311502476609,-5047.5
10,5min,7.0,8.0,0.35,position,1.5,10,2909,0.07402311502476609,-5047.5
20,5min,5.0,10.0,0.35,position,1.5,7,3093,0.06302079119812314,-2895.5
20,5min,7.0,10.0,0.35,position,1.5,7,3087,0.04948859665840798,-3740.5
10,15min,7.0,8.0,0.35,position,1.5,4,1441,0.0,-2244.75
10,15min,7.0,8.0,0.35,position,2.0,2,328,0.0,-1883.0
150,15min,7.0,8.0,0.35,position,2.0,1,391,0.0,-1281.5
150,5min,3.0,8.0,0.35,combined,1.5,2,546,0.0,-526.75
10,5min,3.0,6.0,0.35,combined,2.0,1,500,0.0,-304.0
150,5min,3.0,10.0,0.25,combined,1.5,3,516,0.0,-750.75
10,5min,3.0,6.0,0.35,position,2.0,3,671,0.0,-1189.5
10,5min,3.0,8.0,0.35,position,2.0,3,671,0.0,-1189.5
10,15min,7.0,8.0,0.35,combined,1.5,1,885,0.0,-225.25
10,15min,7.0,6.0,0.35,combined,1.5,1,885,0.0,-225.25
10,15min,7.0,6.0,0.35,position,2.0,2,328,0.0,-1883.0
10,15min,7.0,10.0,0.35,position,1.5,4,1441,0.0,-2244.75
150,15min,5.0,10.0,0.35,combined,2.0,1,316,0.0,-916.5
10,15min,7.0,6.0,0.35,position,1.5,4,1441,0.0,-2244.75
150,5min,5.0,6.0,0.35,position,1.5,3,1043,0.0,-1455.75
150,15min,7.0,6.0,0.35,position,2.0,1,391,0.0,-1281.5
150,15min,7.0,6.0,0.35,combined,1.5,1,1589,0.0,-1281.5
150,15min,7.0,6.0,0.35,combined,2.0,1,316,0.0,-1281.5
150,5min,5.0,6.0,0.25,combined,1.5,3,516,0.0,-1050.75
150,5min,3.0,10.0,0.35,combined,1.5,2,546,0.0,-526.75
10,5min,5.0,8.0,0.35,combined,2.0,1,500,0.0,-504.0
150,15min,5.0,10.0,0.35,combined,1.5,1,1589,0.0,-916.5
10,5min,3.0,10.0,0.35,combined,2.0,1,500,0.0,-304.0
20,5min,7.0,8.0,0.35,position,2.0,5,1201,0.0,-3493.75
10,5min,5.0,6.0,0.35,position,2.0,3,671,0.0,-1828.25
10,5min,5.0,6.0,0.35,combined,2.0,1,500,0.0,-504.0
10,5min,5.0,8.0,0.35,position,2.0,3,671,0.0,-1828.25
20,5min,7.0,6.0,0.35,combined,2.5,2,248,0.0,-1758.0
20,5min,7.0,6.0,0.35,combined,2.0,2,894,0.0,-1758.0
150,15min,5.0,8.0,0.35,position,2.0,1,391,0.0,-916.5
150,15min,5.0,8.0,0.35,combined,1.5,1,1589,0.0,-916.5
10,5min,3.0,8.0,0.35,combined,2.0,1,500,0.0,-304.0
10,5min,3.0,10.0,0.35,position,2.0,3,671,0.0,-1189.5
20,5min,5.0,8.0,0.35,position,2.0,5,1204,0.0,-2773.75
150,15min,3.0,10.0,0.35,position,2.0,1,391,0.0,-551.5
10,5min,7.0,8.0,0.35,combined,2.0,1,500,0.0,-704.0
150,15min,3.0,10.0,0.35,combined,2.0,1,316,0.0,-551.5
20,5min,5.0,6.0,0.35,combined,2.5,2,248,0.0,-1258.0
20,5min,5.0,6.0,0.35,combined,2.0,2,894,0.0,-1258.0
150,15min,5.0,6.0,0.35,position,2.0,1,391,0.0,-916.5
150,15min,5.0,6.0,0.35,combined,1.5,1,1589,0.0,-916.5
150,15min,5.0,6.0,0.35,combined,2.0,1,316,0.0,-916.5
20,5min,7.0,8.0,0.35,combined,2.5,2,248,0.0,-1758.0
10,5min,7.0,8.0,0.35,position,2.0,3,671,0.0,-2328.25
150,15min,5.0,8.0,0.35,combined,2.0,1,316,0.0,-916.5
20,5min,7.0,8.0,0.35,combined,2.0,2,894,0.0,-1758.0
10,15min,3.0,8.0,0.35,position,2.0,2,328,0.0,-878.0
150,15min,3.0,10.0,0.35,position,1.5,3,2315,0.0,-1549.5
10,15min,7.0,10.0,0.35,position,2.0,2,328,0.0,-1883.0
10,15min,7.0,10.0,0.35,combined,1.5,1,885,0.0,-225.25
150,15min,3.0,10.0,0.35,combined,1.5,1,1669,0.0,-551.5
150,5min,5.0,8.0,0.35,combined,1.5,2,546,0.0,-826.75
150,5min,7.0,10.0,0.25,combined,1.5,3,516,0.0,-1350.75
150,5min,3.0,8.0,0.35,position,2.5,1,307,0.0,-379.0
150,5min,3.0,8.0,0.35,position,2.0,1,451,0.0,-379.0
150,5min,3.0,8.0,0.35,position,1.5,3,1050,0.0,-905.75
150,5min,3.0,8.0,0.25,combined,1.5,3,516,0.0,-750.75
10,15min,3.0,8.0,0.35,combined,1.5,1,885,0.0,-266.5
150,15min,5.0,10.0,0.25,combined,2.0,2,310,0.0,-883.0
10,15min,5.0,10.0,0.35,combined,1.5,1,885,0.0,-225.25
10,15min,5.0,10.0,0.35,position,2.0,2,328,0.0,-1458.0
10,15min,5.0,10.0,0.35,position,1.5,4,1441,0.0,-1819.75
150,5min,7.0,10.0,0.35,position,2.0,1,427,0.0,-724.0
150,5min,7.0,10.0,0.35,position,2.5,1,293,0.0,-724.0
10,15min,5.0,8.0,0.35,combined,1.5,1,885,0.0,-225.25
150,15min,7.0,10.0,0.35,position,2.0,1,391,0.0,-1281.5
20,5min,7.0,10.0,0.35,position,2.5,3,366,0.0,-2482.0
150,5min,7.0,10.0,0.35,position,1.5,3,1026,0.0,-1850.75
150,5min,3.0,10.0,0.35,position,1.5,3,1050,0.0,-905.75
150,15min,7.0,10.0,0.25,combined,2.0,2,310,0.0,-1233.0
150,5min,7.0,10.0,0.35,combined,1.5,2,546,0.0,-1126.75
10,15min,3.0,6.0,0.35,position,1.5,4,1441,0.0,-1281.0
150,15min,7.0,8.0,0.35,combined,2.0,1,316,0.0,-1281.5
150,15min,7.0,8.0,0.35,combined,1.5,1,1589,0.0,-1281.5
10,15min,3.0,6.0,0.35,position,2.0,2,328,0.0,-878.0
10,15min,5.0,8.0,0.35,position,1.5,4,1441,0.0,-1819.75
150,5min,3.0,6.0,0.35,position,2.5,1,307,0.0,-379.0
150,5min,3.0,6.0,0.35,position,2.0,1,451,0.0,-379.0
150,5min,3.0,6.0,0.35,position,1.5,3,1050,0.0,-905.75
150,5min,3.0,6.0,0.25,combined,1.5,3,516,0.0,-750.75
10,15min,3.0,6.0,0.35,combined,1.5,1,885,0.0,-266.5
150,15min,7.0,10.0,0.35,combined,2.0,1,316,0.0,-1281.5
150,15min,7.0,10.0,0.35,combined,1.5,1,1589,0.0,-1281.5
10,15min,5.0,8.0,0.35,position,2.0,2,328,0.0,-1458.0
150,5min,3.0,6.0,0.35,combined,1.5,2,546,0.0,-526.75
150,5min,7.0,6.0,0.35,position,1.5,3,1026,0.0,-1850.75
150,5min,7.0,6.0,0.25,combined,1.5,3,516,0.0,-1350.75
150,5min,5.0,8.0,0.35,position,2.0,1,444,0.0,-629.0
150,5min,5.0,10.0,0.35,combined,1.5,2,546,0.0,-826.75
10,15min,3.0,8.0,0.35,position,1.5,4,1441,0.0,-1281.0
20,5min,7.0,10.0,0.35,position,2.0,5,1201,0.0,-3493.75
150,5min,7.0,8.0,0.35,combined,1.5,2,546,0.0,-1126.75
150,5min,5.0,6.0,0.35,position,2.0,1,444,0.0,-629.0
150,5min,7.0,8.0,0.35,position,2.0,1,427,0.0,-724.0
150,5min,7.0,8.0,0.35,position,1.5,3,1026,0.0,-1850.75
150,5min,7.0,8.0,0.25,combined,1.5,3,516,0.0,-1350.75
150,15min,5.0,10.0,0.35,position,2.0,1,391,0.0,-916.5
150,5min,5.0,8.0,0.35,position,2.5,1,300,0.0,-629.0
100,5min,7.0,10.0,0.35,position,1.5,2,1034,0.0,-739.25
150,5min,3.0,10.0,0.35,position,2.0,1,451,0.0,-379.0
150,5min,3.0,10.0,0.35,position,2.5,1,307,0.0,-379.0
150,5min,7.0,8.0,0.35,position,2.5,1,293,0.0,-724.0
10,15min,3.0,10.0,0.35,combined,1.5,1,885,0.0,-266.5
10,15min,3.0,10.0,0.35,position,2.0,2,328,0.0,-878.0
10,15min,3.0,10.0,0.35,position,1.5,4,1441,0.0,-1281.0
150,5min,5.0,6.0,0.35,position,2.5,1,300,0.0,-629.0
150,5min,5.0,6.0,0.35,combined,1.5,2,546,0.0,-826.75
150,5min,5.0,10.0,0.35,position,2.5,1,300,0.0,-629.0
150,5min,5.0,10.0,0.35,position,2.0,1,444,0.0,-629.0
150,5min,7.0,6.0,0.35,position,2.0,1,427,0.0,-724.0
150,5min,5.0,10.0,0.25,combined,1.5,3,516,0.0,-1050.75
150,5min,5.0,8.0,0.25,combined,1.5,3,516,0.0,-1050.75
10,15min,5.0,6.0,0.35,combined,1.5,1,885,0.0,-225.25
10,15min,5.0,6.0,0.35,position,2.0,2,328,0.0,-1458.0
10,15min,5.0,6.0,0.35,position,1.5,4,1441,0.0,-1819.75
150,5min,5.0,8.0,0.35,position,1.5,3,1043,0.0,-1455.75
150,5min,7.0,6.0,0.35,combined,1.5,2,546,0.0,-1126.75
150,5min,7.0,6.0,0.35,position,2.5,1,293,0.0,-724.0
150,5min,5.0,10.0,0.35,position,1.5,3,1043,0.0,-1455.75
20,5min,3.0,8.0,0.35,position,2.0,5,1204,0.0,-1760.0
100,5min,3.0,8.0,0.25,combined,1.5,2,476,0.0,-735.5
20,5min,5.0,6.0,0.35,position,2.5,3,366,0.0,-1887.0
100,15min,7.0,6.0,0.35,combined,1.5,1,570,0.0,-1281.5
100,15min,7.0,8.0,0.35,position,1.5,2,697,0.0,-1476.75
100,15min,7.0,8.0,0.35,combined,1.5,1,570,0.0,-1281.5
100,15min,7.0,6.0,0.35,position,1.5,2,697,0.0,-1476.75
100,15min,7.0,10.0,0.25,combined,1.5,3,541,0.0,-1622.0
100,15min,7.0,10.0,0.35,position,1.5,2,697,0.0,-1476.75
100,15min,7.0,10.0,0.35,combined,1.5,1,570,0.0,-1281.5
100,15min,5.0,10.0,0.35,combined,1.5,1,570,0.0,-916.5
20,15min,7.0,8.0,0.35,position,2.0,1,631,0.0,-724.0
20,15min,7.0,8.0,0.35,position,2.5,1,207,0.0,-724.0
20,15min,3.0,10.0,0.25,combined,2.0,1,300,0.0,-356.5
20,5min,5.0,6.0,0.35,position,2.0,5,1204,0.0,-2773.75
100,15min,3.0,8.0,0.35,combined,1.5,1,570,0.0,-551.5
20,15min,3.0,10.0,0.35,position,2.5,1,207,0.0,-379.0
100,5min,5.0,8.0,0.35,position,2.0,1,605,0.0,-629.0
20,15min,5.0,10.0,0.35,position,2.0,1,631,0.0,-629.0
20,15min,5.0,10.0,0.35,position,2.5,1,207,0.0,-629.0
20,5min,3.0,10.0,0.35,combined,2.5,2,248,0.0,-758.0
20,5min,3.0,10.0,0.35,combined,2.0,2,894,0.0,-758.0
20,15min,7.0,6.0,0.35,position,2.0,1,631,0.0,-724.0
20,15min,7.0,6.0,0.35,position,2.5,1,207,0.0,-724.0
20,5min,3.0,10.0,0.35,position,2.5,3,366,0.0,-1137.0
100,5min,5.0,6.0,0.35,position,1.5,2,1051,0.0,-644.25
100,5min,5.0,6.0,0.35,position,2.0,1,605,0.0,-629.0
100,5min,5.0,6.0,0.35,position,2.5,1,300,0.0,-629.0
100,5min,5.0,6.0,0.35,combined,1.5,1,450,0.0,-15.25
20,5min,3.0,10.0,0.35,position,2.0,5,1204,0.0,-1760.0
100,5min,5.0,8.0,0.25,combined,1.5,2,438,0.0,-594.25
20,15min,3.0,10.0,0.35,position,2.0,1,631,0.0,-379.0
100,15min,5.0,8.0,0.35,position,1.5,2,697,0.0,-1111.75
100,15min,5.0,8.0,0.35,combined,1.5,1,570,0.0,-916.5
100,15min,5.0,10.0,0.25,combined,1.5,3,543,0.0,-1162.0
100,15min,5.0,10.0,0.35,position,1.5,2,697,0.0,-1111.75
20,5min,5.0,8.0,0.35,position,2.5,3,366,0.0,-1887.0
100,15min,5.0,6.0,0.35,combined,1.5,1,570,0.0,-916.5
20,5min,5.0,8.0,0.35,combined,2.0,2,894,0.0,-1258.0
20,5min,5.0,8.0,0.35,combined,2.5,2,248,0.0,-1258.0
20,5min,5.0,10.0,0.35,position,2.0,5,1204,0.0,-2773.75
20,5min,5.0,10.0,0.35,position,2.5,3,366,0.0,-1887.0
20,5min,3.0,6.0,0.35,combined,2.0,2,894,0.0,-758.0
20,5min,3.0,6.0,0.35,combined,2.5,2,248,0.0,-758.0
100,5min,3.0,8.0,0.35,position,1.5,2,1091,0.0,-765.5
100,5min,3.0,8.0,0.35,position,2.0,1,612,0.0,-379.0
100,5min,3.0,8.0,0.35,position,2.5,1,307,0.0,-379.0
100,5min,3.0,6.0,0.35,combined,1.5,1,483,0.0,-386.5
100,15min,5.0,6.0,0.35,position,1.5,2,697,0.0,-1111.75
100,5min,3.0,10.0,0.25,combined,1.5,2,476,0.0,-735.5
20,5min,5.0,10.0,0.35,combined,2.5,2,248,0.0,-1258.0
20,5min,5.0,10.0,0.35,combined,2.0,2,894,0.0,-1258.0
20,15min,7.0,10.0,0.35,position,2.0,1,631,0.0,-724.0
20,15min,7.0,10.0,0.35,position,2.5,1,207,0.0,-724.0
20,5min,3.0,8.0,0.35,combined,2.5,2,248,0.0,-758.0
20,5min,3.0,6.0,0.35,position,2.0,5,1204,0.0,-1760.0
20,5min,3.0,6.0,0.35,position,2.5,3,366,0.0,-1137.0
20,5min,3.0,8.0,0.35,combined,2.0,2,894,0.0,-758.0
20,5min,3.0,8.0,0.35,position,2.5,3,366,0.0,-1137.0
100,5min,3.0,6.0,0.25,combined,1.5,2,476,0.0,-735.5
100,5min,3.0,6.0,0.35,position,1.5,2,1091,0.0,-765.5
100,5min,3.0,6.0,0.35,position,2.0,1,612,0.0,-379.0
100,5min,3.0,6.0,0.35,position,2.5,1,307,0.0,-379.0
100,5min,3.0,8.0,0.35,combined,1.5,1,483,0.0,-386.5
20,15min,5.0,6.0,0.35,position,2.5,1,207,0.0,-629.0
20,15min,5.0,8.0,0.35,position,2.0,1,631,0.0,-629.0
20,15min,5.0,8.0,0.35,position,2.5,1,207,0.0,-629.0
100,5min,5.0,8.0,0.35,position,2.5,1,300,0.0,-629.0
100,5min,5.0,8.0,0.35,combined,1.5,1,450,0.0,-15.25
